X,Y,FID,LEAAUNumbe,LEAInstNam,LEACategor,LEAIUNumbe,LEAIU,LEACountyN,LEAStatus,LEAStatusE,LEAWebAddr,LEAMailing,LEAMaili_1,LEAMaili_2,LEAMaili_3,LEAMaili_4,LEAMaili_5,LEALocatio,LEALocat_1,LEALocat_2,LEALocat_3,LEALocat_4,LEALocat_5,LEAPhoneNu,LEAPhone_1,LEAAdminTi,LEAAdminSa,LEAAdminFi,LEAAdminMi,LEAAdminLa,LEAAdminSu,LEAAdminPh,LEAAdmin_1,SchoolInst,SchoolAUNN,SchoolBran,SchoolName,GradeYear,GradeList,GradeCtgy,K4_Half,K4_Full,K5_Half,K5_Full,Grade_1,Grade_2,Grade_3,Grade_4,Grade_5,Grade_6,Elementary,Grade_7,Grade_8,Grade_9,Grade_10,Grade_11,Grade_12,Secondary_,SchoolCoun,SchoolStat,SchoolSt_1,SchoolWebA,SchoolPhon,SchoolPh_1,SchoolMail,SchoolMa_1,SchoolMa_2,SchoolMa_3,SchoolMa_4,SchoolMa_5,SchoolLoca,SchoolLo_1,SchoolLo_2,SchoolLo_3,SchoolLo_4,SchoolLo_5,SchoolAdmi,SchoolAd_1,SchoolAd_2,SchoolAd_3,SchoolAd_4,SchoolAd_5,CyberSchoo
-79.993163920743228,40.35317322557394,11,103021102,Baldwin-Whitehall SD,School District,3,Allegheny IU 3,Allegheny,Open,1999-06-08T00:00:00.000Z,http://www.bwschools.net,4900 Curry Rd, ,Pittsburgh,PA,15236,1817,4900 Curry Rd, ,Pittsburgh,PA,15236,1817,(412)885-7808, ,Superintendent,Dr,Randal,A,Lutz, ,(412)884-6300,7240,Regular School,103021102,48,Whitehall El Sch,2017-2018,2-5,ELEMENTARY,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Allegheny,Open,1993-07-23T00:00:00.000Z,https://www.bwschools.net,(412)885-7525, ,4900 Curry Rd, ,Pittsburgh,PA,15236,1817,4900 Curry Rd, ,Pittsburgh,PA,15236,1817,Principal,Mrs,Jennifer, ,Marsteller, , 
-79.979548866549223,40.355511598424208,12,103021102,Baldwin-Whitehall SD,School District,3,Allegheny IU 3,Allegheny,Open,1999-06-08T00:00:00.000Z,http://www.bwschools.net,4900 Curry Rd, ,Pittsburgh,PA,15236,1817,4900 Curry Rd, ,Pittsburgh,PA,15236,1817,(412)885-7808, ,Superintendent,Dr,Randal,A,Lutz, ,(412)884-6300,7240,Regular School,103021102,50,Baldwin SHS,2017-2018,9-12,SECONDARY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,Allegheny,Open,1997-11-10T00:00:00.000Z,https://www.bwschools.net,(412)885-7500, ,4653 Clairton Blvd, ,Pittsburgh,PA,15236,2149,4653 Clairton Blvd, ,Pittsburgh,PA,15236,2149,Principal,Mr,Walter,A,Graves, , 
-79.950401398510351,40.381100119292888,13,103021102,Baldwin-Whitehall SD,School District,3,Allegheny IU 3,Allegheny,Open,1999-06-08T00:00:00.000Z,http://www.bwschools.net,4900 Curry Rd, ,Pittsburgh,PA,15236,1817,4900 Curry Rd, ,Pittsburgh,PA,15236,1817,(412)885-7808, ,Superintendent,Dr,Randal,A,Lutz, ,(412)884-6300,7240,Regular School,103021102,5194,Paynter El Sch,2017-2018,K5F-5,ELEMENTARY,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Allegheny,Open,1998-06-26T00:00:00.000Z,https://www.bwschools.net,(412)885-7535, ,3454 Pleasantvue Dr, ,Pittsburgh,PA,15227,4334,3454 Pleasantvue Dr, ,Pittsburgh,PA,15227,4334,Principal,Mrs,Patricia, ,Fusco, , 
-80.00003382820104,40.350775198326922,14,103021102,Baldwin-Whitehall SD,School District,3,Allegheny IU 3,Allegheny,Open,1999-06-08T00:00:00.000Z,http://www.bwschools.net,4900 Curry Rd, ,Pittsburgh,PA,15236,1817,4900 Curry Rd, ,Pittsburgh,PA,15236,1817,(412)885-7808, ,Superintendent,Dr,Randal,A,Lutz, ,(412)884-6300,7240,Regular School,103021102,6787,Harrison MS,2017-2018,"6,7-8",ELEMENTARY/SECONDARY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Allegheny,Open,2000-07-12T00:00:00.000Z,https://www.bwschools.net,(412)885-7530, ,129 Windvale Dr, ,Pittsburgh,PA,15236,1854,129 Windvale Dr, ,Pittsburgh,PA,15236,1854,Principal,Mrs,Jill,S,Fleming-Salopek, , 
-80.054060592581138,40.323760079460442,15,103021252,Bethel Park SD,School District,3,Allegheny IU 3,Allegheny,Open,1999-06-08T00:00:00.000Z,http://www.bpsd.org/,301 Church Rd, ,Bethel Park,PA,15102,1696,301 Church Rd, ,Bethel Park,PA,15102,1696,(412)833-5000, ,Superintendent,Dr,Joseph,W,Pasquerilla, ,(412)854-8402,0,Regular School,103021252,55,Bethel Memorial El Sch,2017-2018,"K5H,1-4",ELEMENTARY,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Allegheny,Open,1997-07-08T00:00:00.000Z,http://www.bpsd.org,(412)854-8506, ,3301 S Park Rd, ,Bethel Park,PA,15102,1109,3301 S Park Rd, ,Bethel Park,PA,15102,1109,Principal,Mr,Eric, ,Chalus, , 
-80.043916339387437,40.298637374910314,16,103021252,Bethel Park SD,School District,3,Allegheny IU 3,Allegheny,Open,1999-06-08T00:00:00.000Z,http://www.bpsd.org/,301 Church Rd, ,Bethel Park,PA,15102,1696,301 Church Rd, ,Bethel Park,PA,15102,1696,(412)833-5000, ,Superintendent,Dr,Joseph,W,Pasquerilla, ,(412)854-8402,0,Regular School,103021252,60,William Penn El Sch,2017-2018,"K5H,1-4",ELEMENTARY,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Allegheny,Open,2000-07-12T00:00:00.000Z,http://www.bpsd.org,(412)854-8522, ,110 Woodlet Ln, ,Bethel Park,PA,15102,2399,110 Woodlet Ln, ,Bethel Park,PA,15102,2399,Principal/Director for Cyber & Alt Learning Option,Mr,Brian, ,Lenosky, , 
-80.042232902833206,40.338185319319336,17,103021252,Bethel Park SD,School District,3,Allegheny IU 3,Allegheny,Open,1999-06-08T00:00:00.000Z,http://www.bpsd.org/,301 Church Rd, ,Bethel Park,PA,15102,1696,301 Church Rd, ,Bethel Park,PA,15102,1696,(412)833-5000, ,Superintendent,Dr,Joseph,W,Pasquerilla, ,(412)854-8402,0,Regular School,103021252,61,Independence MS,2017-2018,7-8,SECONDARY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Allegheny,Open,2005-05-12T00:00:00.000Z,http://www.bpsd.org,(412)854-8677, ,2807 Bethel Church Rd, ,Bethel Park,PA,15102,1694,2807 Bethel Church Rd, ,Bethel Park,PA,15102,1694,Principal,Mr,David, ,Muench, , 
-80.042124873233774,40.333724923010337,18,103021252,Bethel Park SD,School District,3,Allegheny IU 3,Allegheny,Open,1999-06-08T00:00:00.000Z,http://www.bpsd.org/,301 Church Rd, ,Bethel Park,PA,15102,1696,301 Church Rd, ,Bethel Park,PA,15102,1696,(412)833-5000, ,Superintendent,Dr,Joseph,W,Pasquerilla, ,(412)854-8402,0,Regular School,103021252,62,Bethel Park HS,2017-2018,9-12,SECONDARY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,Allegheny,Open,1997-07-08T00:00:00.000Z,http://www.bpsd.org,(412)854-8581, ,309 Church Rd, ,Bethel Park,PA,15102,1695,309 Church Rd, ,Bethel Park,PA,15102,1695,Principal,Dr,Zeb, ,Jansante, , 
-80.017941784712463,40.354255518918436,19,103021252,Bethel Park SD,School District,3,Allegheny IU 3,Allegheny,Open,1999-06-08T00:00:00.000Z,http://www.bpsd.org/,301 Church Rd, ,Bethel Park,PA,15102,1696,301 Church Rd, ,Bethel Park,PA,15102,1696,(412)833-5000, ,Superintendent,Dr,Joseph,W,Pasquerilla, ,(412)854-8402,0,Regular School,103021252,4802,Abraham Lincoln El Sch,2017-2018,"K5H,1-4",ELEMENTARY,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Allegheny,Open,1998-07-13T00:00:00.000Z,http://www.bpsd.org,(412)854-8618, ,1524 Hamilton Rd, ,Pittsburgh,PA,15234,2099,1524 Hamilton Rd, ,Pittsburgh,PA,15234,2099,Principal,Mr,Jay, ,Johnson, , 
-80.062584639836814,40.312627687254874,20,103021252,Bethel Park SD,School District,3,Allegheny IU 3,Allegheny,Open,1999-06-08T00:00:00.000Z,http://www.bpsd.org/,301 Church Rd, ,Bethel Park,PA,15102,1696,301 Church Rd, ,Bethel Park,PA,15102,1696,(412)833-5000, ,Superintendent,Dr,Joseph,W,Pasquerilla, ,(412)854-8402,0,Regular School,103021252,4902,George Washington El Sch,2017-2018,"K5H,1-4",ELEMENTARY,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Allegheny,Open,1997-07-08T00:00:00.000Z,http://www.bpsd.org,(412)854-8546, ,515 Clifton Rd, ,Bethel Park,PA,15102,1341,515 Clifton Rd, ,Bethel Park,PA,15102,1341,Principal,Mr,Fred,T,Pearson, , 
-80.032340412379355,40.324740399186339,21,103021252,Bethel Park SD,School District,3,Allegheny IU 3,Allegheny,Open,1999-06-08T00:00:00.000Z,http://www.bpsd.org/,301 Church Rd, ,Bethel Park,PA,15102,1696,301 Church Rd, ,Bethel Park,PA,15102,1696,(412)833-5000, ,Superintendent,Dr,Joseph,W,Pasquerilla, ,(412)854-8402,0,Regular School,103021252,7326,Benjamin Franklin El Sch,2017-2018,"K5H,1-4",ELEMENTARY,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Allegheny,Open,2000-07-12T00:00:00.000Z,http://www.bpsd.org,(412)854-8741, ,5400 Florida Ave, ,Bethel Park,PA,15102,3813,5400 Florida Ave, ,Bethel Park,PA,15102,3813,Principal,Mrs,Teresa, ,Ader-Doumont, , 
-80.021814739905921,40.306107332314483,22,103021252,Bethel Park SD,School District,3,Allegheny IU 3,Allegheny,Open,1999-06-08T00:00:00.000Z,http://www.bpsd.org/,301 Church Rd, ,Bethel Park,PA,15102,1696,301 Church Rd, ,Bethel Park,PA,15102,1696,(412)833-5000, ,Superintendent,Dr,Joseph,W,Pasquerilla, ,(412)854-8402,0,Regular School,103021252,7327,Neil Armstrong 5-6 MS,2017-2018,5-6,ELEMENTARY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Allegheny,Open,2000-07-12T00:00:00.000Z,http://www.bpsd.org,(412)854-8751, ,5800 Murray Ave, ,Bethel Park,PA,15102,3448,5800 Murray Ave, ,Bethel Park,PA,15102,3448,Principal,Mr,Kenneth, ,Patterson, , 
-79.97428876972495,40.368783258827207,23,103021453,Brentwood Borough SD,School District,3,Allegheny IU 3,Allegheny,Open,1999-06-08T00:00:00.000Z,http://www.bb-sd.com,3601 Brownsville Rd, ,Pittsburgh,PA,15227,3117,3601 Brownsville Rd, ,Pittsburgh,PA,15227,3117,(412)881-2227, ,Superintendent of Schools,Dr,Amy,M,Burch, ,(412)881-2227,2401,Regular School,103021453,68,Moore Sch,2017-2018,K5F-5,ELEMENTARY,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Allegheny,Open,1993-07-12T00:00:00.000Z,http://www.bb-sd.com,(412)881-7776, ,3809 Dalewood St, ,Pittsburgh,PA,15227,3509,3809 Dalewood St, ,Pittsburgh,PA,15227,3509,Principal,Mrs,Bonnie, ,Betler, , 
-79.973197265450779,40.3794356259178,24,103021453,Brentwood Borough SD,School District,3,Allegheny IU 3,Allegheny,Open,1999-06-08T00:00:00.000Z,http://www.bb-sd.com,3601 Brownsville Rd, ,Pittsburgh,PA,15227,3117,3601 Brownsville Rd, ,Pittsburgh,PA,15227,3117,(412)881-2227, ,Superintendent of Schools,Dr,Amy,M,Burch, ,(412)881-2227,2401,Regular School,103021453,69,Elroy Avenue El Sch,2017-2018,K5F-5,ELEMENTARY,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Allegheny,Open,1993-07-12T00:00:00.000Z,http://www.bb-sd.com,(412)881-4484, ,3129 Elroy Ave, ,Pittsburgh,PA,15227,2824,3129 Elroy Ave, ,Pittsburgh,PA,15227,2824,Principal,Mrs,Barbara,A,Pagan, , 
-79.974109482163939,40.37435978866305,25,103021453,Brentwood Borough SD,School District,3,Allegheny IU 3,Allegheny,Open,1999-06-08T00:00:00.000Z,http://www.bb-sd.com,3601 Brownsville Rd, ,Pittsburgh,PA,15227,3117,3601 Brownsville Rd, ,Pittsburgh,PA,15227,3117,(412)881-2227, ,Superintendent of Schools,Dr,Amy,M,Burch, ,(412)881-2227,2401,Regular School,103021453,70,Brentwood SHS,2017-2018,9-12,SECONDARY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,Allegheny,Open,1998-02-09T00:00:00.000Z,http://www.bb-sd.com,(412)881-4940, ,3601 Brownsville Rd, ,Pittsburgh,PA,15227,3117,3601 Brownsville Rd, ,Pittsburgh,PA,15227,3117,Principal,Mr,Jason,T,Olexa, , 
-79.974109482163939,40.37435978866305,26,103021453,Brentwood Borough SD,School District,3,Allegheny IU 3,Allegheny,Open,1999-06-08T00:00:00.000Z,http://www.bb-sd.com,3601 Brownsville Rd, ,Pittsburgh,PA,15227,3117,3601 Brownsville Rd, ,Pittsburgh,PA,15227,3117,(412)881-2227, ,Superintendent of Schools,Dr,Amy,M,Burch, ,(412)881-2227,2401,Regular School,103021453,7342,Brentwood MS,2017-2018,"6,7-8",ELEMENTARY/SECONDARY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Allegheny,Open,1998-02-09T00:00:00.000Z,http://www.bb-sd.com,(412)881-4940, ,3601 Brownsville Rd, ,Pittsburgh,PA,15227,3117,3601 Brownsville Rd, ,Pittsburgh,PA,15227,3117,Principal,Mr,David,B,Radcliffe, , 
-80.082056869583411,40.401504953085357,27,103021603,Carlynton SD,School District,3,Allegheny IU 3,Allegheny,Open,1999-06-08T00:00:00.000Z,http://www.carlynton.k12.pa.us,435 Kings Hwy, ,Carnegie,PA,15106,1043,435 Kings Hwy, ,Carnegie,PA,15106,1043,(412)429-2500,1102,Superintendent,Dr,Gary, ,Peiffer, ,(412)429-2500,1101,Regular School,103021603,77,Carnegie El Sch,2017-2018,K5F-6,ELEMENTARY,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Allegheny,Open,1999-05-05T00:00:00.000Z, ,(412)429-2500,3336,301 Franklin Ave, ,Carnegie,PA,15106,3031,301 Franklin Ave, ,Carnegie,PA,15106,3031,Principal,Mrs,Carla, ,Hudson, , 
-80.067162808460893,40.431117571790679,28,103021603,Carlynton SD,School District,3,Allegheny IU 3,Allegheny,Open,1999-06-08T00:00:00.000Z,http://www.carlynton.k12.pa.us,435 Kings Hwy, ,Carnegie,PA,15106,1043,435 Kings Hwy, ,Carnegie,PA,15106,1043,(412)429-2500,1102,Superintendent,Dr,Gary, ,Peiffer, ,(412)429-2500,1101,Regular School,103021603,78,Crafton El Sch,2017-2018,K5F-6,ELEMENTARY,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Allegheny,Open,1998-07-06T00:00:00.000Z, ,(412)429-2500,4301,1874 Crafton Blvd, ,Pittsburgh,PA,15205,3104,1874 Crafton Blvd, ,Pittsburgh,PA,15205,3104,Principal,Mrs,Marsha, ,Burleson, , 
